timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 11:14:33.290, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:34.290, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:35.291, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 0 %
2026/09/24 11:14:36.291, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 0 %
2026/09/24 11:14:37.291, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:38.291, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:39.292, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:40.292, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:41.292, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:42.293, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 91 %
2026/09/24 11:14:43.293, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:44.293, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:45.294, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:46.294, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:47.294, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:48.295, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:49.295, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:50.295, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:51.296, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:52.296, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:53.297, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 91 %
2026/09/24 11:14:54.297, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:55.297, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:56.298, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:14:57.298, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:58.298, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:14:59.299, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:00.299, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:01.299, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:02.299, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:03.300, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:04.300, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:05.300, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:06.301, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:07.301, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:08.301, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:15:09.301, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:10.302, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:11.302, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:12.302, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:13.303, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:14.303, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:15.303, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:15:16.303, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:15:17.304, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:18.304, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:19.304, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:20.305, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 64 %
2026/09/24 11:15:21.305, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:22.305, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:23.305, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:24.306, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:25.306, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:26.306, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:27.308, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:28.308, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:29.308, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:30.309, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:31.309, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:32.309, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:33.309, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:34.310, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:35.310, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:36.310, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:37.311, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:38.311, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:39.311, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:15:40.311, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:41.312, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:42.312, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:43.312, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:44.313, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:45.313, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:46.313, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:47.314, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:48.314, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:49.314, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:15:50.314, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:51.315, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:52.315, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:53.315, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:15:54.316, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:55.316, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:56.316, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:15:57.316, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:58.317, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:15:59.317, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:00.317, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:01.318, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:02.318, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:03.318, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:04.318, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:05.319, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:06.319, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:07.319, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:08.320, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:09.320, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:10.320, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:11.320, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:16:12.321, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:13.321, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:16:14.321, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:15.322, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:16.322, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:17.322, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:18.322, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:19.323, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:20.323, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 92 %
2026/09/24 11:16:21.323, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:22.324, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:23.324, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 93 %
2026/09/24 11:16:24.324, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
2026/09/24 11:16:25.324, NVIDIA L4, 23034 MiB, 21544 MiB, 1103 MiB, 94 %
