timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/09/24 09:22:39.047, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 92 %
2026/09/24 09:22:40.047, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:22:41.047, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:42.048, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:43.048, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:44.048, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:45.048, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:22:46.049, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:22:47.049, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:48.049, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:49.049, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:50.050, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:51.050, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:52.050, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 93 %
2026/09/24 09:22:53.051, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:54.051, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:55.051, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:56.051, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:57.052, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
2026/09/24 09:22:58.052, NVIDIA L4, 23034 MiB, 21350 MiB, 1297 MiB, 94 %
